ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
マイケルはジェイコブにダンスを申し込んだ。彼は一人ぼっちだったからだ。	マイケルはジェイコブにダンスを申し込んだ。ジェイコブは一人ぼっちだったからだ。	マイケルはジェイコブにダンスを申し込んだ。マイケルは一人ぼっちだったからだ。
マイケルはジェイコブにダンスを申し込んだ。彼は彼を可哀そうだと思ったからだ。	マイケルはジェイコブにダンスを申し込んだ。マイケルは彼を可哀そうだと思ったからだ。	マイケルはジェイコブにダンスを申し込んだ。ジェイコブは彼を可哀そうだと思ったからだ。
政府は国民が月曜にチェスをするのを禁止したがっている。彼らは仕事をしなくてはならないからだ。	政府は国民が月曜にチェスをするのを禁止したがっている。国民は仕事をしなくてはならないからだ。	政府は国民が月曜にチェスをするのを禁止したがっている。政府は仕事をしなくてはならないからだ。
政府は国民が月曜にチェスをするのを禁止したがっている。彼らは月曜日をもっと生産的にしたいのだ。	政府は国民が月曜にチェスをするのを禁止したがっている。政府は月曜日をもっと生産的にしたいのだ。	政府は国民が月曜にチェスをするのを禁止したがっている。国民は月曜日をもっと生産的にしたいのだ。
ジョンはマイケルとお菓子を焼こうとした。しかし彼は卵を持っていなかった。	ジョンはマイケルとお菓子を焼こうとした。しかしジョンは卵を持っていなかった。	ジョンはマイケルとお菓子を焼こうとした。しかしマイケルは卵を持っていなかった。
ジョンはマイケルとお菓子を焼こうとした。しかし彼は「台所はきらいだ」と言った。	ジョンはマイケルとお菓子を焼こうとした。しかしマイケルは「台所はきらいだ」と言った。	ジョンはマイケルとお菓子を焼こうとした。しかしジョンは「台所はきらいだ」と言った。
政府はジャーナリストを北朝鮮から解放しようとした。しかし彼らは成功しなかった。	政府はジャーナリストを北朝鮮から解放しようとした。しかし政府は成功しなかった。	政府はジャーナリストを北朝鮮から解放しようとした。しかしジャーナリストは成功しなかった。
政府はジャーナリストを北朝鮮から解放しようとした。しかし彼らは監禁された。	政府はジャーナリストを北朝鮮から解放しようとした。しかしジャーナリストは監禁された。	政府はジャーナリストを北朝鮮から解放しようとした。しかし政府は監禁された。
エミリーはアンナに鍋をかき混ぜるよう頼んだ。しかし彼女はそれをしなかった。	エミリーはアンナに鍋をかき混ぜるよう頼んだ。しかしアンナはそれをしなかった。	エミリーはアンナに鍋をかき混ぜるよう頼んだ。しかしエミリーはそれをしなかった。
エミリーはアンナに鍋をかき混ぜるよう頼んだ。彼女がそうするのを忘れたからだ。	エミリーはアンナに鍋をかき混ぜるよう頼んだ。エミリーがそうするのを忘れたからだ。	エミリーはアンナに鍋をかき混ぜるよう頼んだ。アンナがそうするのを忘れたからだ。
ティムはエリックにヤモリを買った。しかし彼はそれを好きではなかった。	ティムはエリックにヤモリを買った。しかしエリックはそれを好きではなかった。	ティムはエリックにヤモリを買った。しかしティムはそれを好きではなかった。
